state,year,mean_roa,median_roa,roa_std,roa_iqr,n_firms
TX,1957,0.19579847601318,0.19357515974179562,0.07199811692821703,0.09541563023121458,50
TX,1958,0.1690835042098936,0.1723939167289953,0.06521348624110165,0.07443074927040796,54
TX,1959,0.17679589507275725,0.17733400848154945,0.0779779649228985,0.12290291837416625,55
TX,1960,0.15007866654785618,0.14897277956527938,0.07855231611326467,0.10584025809650596,79
TX,1961,0.1550370799945576,0.14022310066605298,0.08803164408534413,0.09363334855124528,95
TX,1962,0.15422260100022891,0.14811468980817716,0.07359738624457512,0.08868675925138107,112
TX,1963,0.14907368210139632,0.14415910014907168,0.08403835491097009,0.10130423877602207,133
TX,1964,0.15584758768144363,0.1531274185604728,0.0850797894294573,0.09640978925290393,149
TX,1965,0.15853629729766394,0.15093973636180852,0.08103809679233852,0.087219545667546,166
TX,1966,0.1583056602534985,0.14813023919572477,0.0863178996515354,0.0954198435663433,178
TX,1967,0.15127809980531898,0.14739572794609396,0.08674155449394345,0.08174508003708876,188
TX,1968,0.1552094534623812,0.14757680935852935,0.08804707971262071,0.09017917313943483,227
TX,1969,0.13993572487265418,0.14138642222838874,0.08588721867478383,0.08220425921736818,240
TX,1970,0.12491037868557127,0.12669546966801695,0.10421372026859581,0.07612486944060501,258
TX,1971,0.1310158306120572,0.13157269621807727,0.10178724944108017,0.08743658315530956,282
TX,1972,0.1420789900632925,0.13768916936310469,0.09843503430016384,0.09528323468963652,311
TX,1973,0.14578679946025627,0.14118075758336365,0.09623885962193889,0.09108696010711984,342
TX,1974,0.13376569589339435,0.14077567881370823,0.12570030844026545,0.12574492762883546,459
TX,1975,0.13131280765888304,0.14165782962177448,0.14301901947459195,0.14904011186584268,471
TX,1976,0.1361915566601306,0.14702612020365569,0.13489512088975616,0.12954415649318196,489
TX,1977,0.137172117252177,0.1397559816193947,0.1305266950134445,0.12656292730355684,499
TX,1978,0.14067009154143653,0.14413279672671786,0.1073411189177401,0.12495832489241193,516
TX,1979,0.1432812640926878,0.14851975328805064,0.1212372023051376,0.13088583707381918,506
TX,1980,0.13747618681711563,0.13971056082897249,0.14037073005665085,0.15487328118752314,543
TX,1981,0.11862830493932866,0.13394745922914197,0.15798429874511688,0.1554849219462796,589
TX,1982,0.08568402737319555,0.10900225757669382,0.16485869954925328,0.14923036060590925,620
