state,year,mean_mb,median_mb,std_mb,n_obs,mean_pe,median_pe,total_mktcap,mean_mktcap,total_emp,n_firms,mb_change,pe_change,mktcap_change,log_mb_change,log_mktcap_change
AL,2002,1.6425047833903816,1.317620383002375,2.0229733755774495,47,20.04906327730713,13.265804136513248,38183.768356,812.420603319149,93.676,47,17.767901350321292,0.2336048514909317,-18.7696267830885,16.35455638061164,-20.788095436590126
AL,2003,1.9124411794822818,1.6156141221870188,1.4553269724975577,45,20.87940740314219,15.234004474272929,49489.067277,1099.7570506,88.02799999999999,45,16.43443591894509,4.141560702114688,29.607603983967557,15.215814678490958,25.93412689247039
AL,2004,2.324054593346145,1.79925388021957,1.772623616340308,40,24.34284095805306,16.848191455187923,51371.203665,1284.280091625,85.431,40,21.522931961509606,16.587796234052377,3.8031357056404147,19.49327994072261,3.732599339762821
AL,2005,2.4350825727838212,1.6998618731827932,2.2928855049145485,43,20.336567996395825,15.580371957655036,55213.12636,1284.0261944186047,91.352,43,4.777339558010096,-16.45770503352808,7.478747665820351,4.666733692722024,7.212294590326529
AL,2006,2.2731903570637138,1.6555625375604923,1.873041145190141,37,21.166299472310154,17.18745373797187,59515.055290000004,1608.5150078378379,81.90400000000001,37,-6.648325503600072,4.0799975495441565,7.791496721179336,-6.879637833156815,7.502858923812106
AL,2007,2.324979651045844,1.2391141096668052,3.402530764162803,36,16.81490340358145,15.399297094723456,47219.488364,1311.6524545555556,87.98700000000001,36,2.2782647225825237,-20.55813334031874,-20.659590865012547,2.2526998340467785,-23.14226141848348
AL,2008,1.2427169390776218,1.0326520394100225,1.286888082274512,31,12.453069350897676,9.982010345804989,23943.508805,772.3712517741936,81.624,31,-46.549341259025155,-25.940286114012025,-49.29316340654283,-62.641122415940245,-67.91094404291852
AL,2009,1.966110887941706,0.8781547670950764,3.4176407333273757,28,34.31850169202622,20.28925924994248,29103.30705,1039.4038232142857,75.905,28,58.21067743721324,175.58267544340285,21.549883465377896,45.875736034989835,19.515455603543153
AL,2010,2.0695172621899802,1.0848235682727851,2.8726562455008855,26,22.586668686735155,13.152541293532336,36768.946722,1414.1902585384616,75.58,26,5.25943754660394,-34.185155023877144,26.339411046415773,5.125795045569859,23.380183781587327
AL,2011,2.00953800533457,1.0026238296496732,3.1950381202513447,27,14.301785545174745,13.021615691874183,31748.21242,1175.8597192592592,98.139,27,-2.8982245256528816,-36.68041204511938,-13.654822206250305,-2.941052584925663,-14.681722784477458
AL,2012,1.9690959525450535,1.1450451250341322,2.343435447412663,25,15.28692772138293,12.815765808756835,37009.9315768,1480.397263072,95.033,25,-2.012504997773523,6.88824603820577,16.57327690514425,-2.0330317477446846,15.33498755989342
AL,2013,2.0653821547270064,1.2415739144066469,2.477555571438906,23,18.034594501466515,12.309325153374234,44531.3953352,1936.1476232695654,86.33500000000001,23,4.889868472763004,17.973963311412945,20.322825355113316,4.774074203061652,18.500815594499898
AL,2014,1.863883533856277,1.1595065685766095,2.079257193625629,22,17.418650749306714,15.029573570019725,41206.2174059,1873.0098820863639,87.329,22,-9.75599699114098,-3.4153457240733265,-7.467041857257051,-10.265303963821248,-7.760530068512672
AL,2015,1.847925021495492,1.3158966816009772,1.6890786074015296,21,21.25355436901946,19.41091110421796,41748.439727,1988.0209393809523,85.75,21,-0.8561968637475714,22.016077335182693,1.315875018953716,-0.8598832861996697,1.3072925909915156
AL,2016,1.8676085051395768,1.5261188811665485,1.1637398689259335,18,25.8632187684179,20.026889258576567,56002.4053047,3111.24473915,84.662,18,1.0651667905960283,21.68891056696747,34.142510884021185,1.059533853945449,29.373256289225047
AL,2017,1.917686316757369,1.6090997818906787,1.0322986181746459,19,20.591931842509034,18.588506782775035,62589.0713074,3294.161647757895,88.69999999999999,19,2.6813869973273396,-20.381403309110713,11.761398402199008,2.6460677883563544,11.119604142885287
AL,2018,2.300674109331934,1.3029680243492079,3.1720291128758324,18,21.139527090953656,17.609838846480066,46852.02792,2602.89044,91.4565,18,19.971347202506106,2.659270886445886,-25.14343647968361,18.208275497061955,-28.959638998472492
AL,2019,3.4907731445973655,1.4095829839259544,7.146253492275427,17,17.9486773998838,17.087310162949144,60846.96403,3579.2331782352944,93.7665,17,51.728275223256645,-15.09423402586586,29.87050236949489,41.692107207692665,26.13676323754035
AL,2020,1.6621435105010924,1.5047212168093087,1.1427673262393718,19,18.348389852351122,17.242070063694268,62974.294218099996,3314.4365377947365,93.152,19,-52.384659740104425,2.22697440909998,3.4961977512158793,-74.20152023023921,3.436468933929504
AL,2021,1.8214982133215813,1.2319910241795164,1.2580294549053879,21,20.932134177922602,14.110231901926227,81046.1861767,3859.342198890476,97.254,21,9.587301085238288,14.081586157492755,28.697252081954726,9.15513158022394,25.229257704148367
