state,year,unemployment_rate
MT,2012,5.783333333333334
MT,2013,5.3
MT,2014,4.641666666666667
MT,2015,4.241666666666666
MT,2016,4.266666666666667
MT,2017,4.1
MT,2018,3.725
MT,2019,3.5
MT,2020,5.825
MT,2021,3.391666666666667
MT,2022,2.6333333333333333
MT,2023,2.6666666666666665
NE,1995,2.6333333333333333
NE,1996,2.6999999999999997
NE,1997,2.408333333333333
NE,1998,2.5166666666666666
NE,1999,2.766666666666667
NE,2000,2.8333333333333335
NE,2001,3.158333333333333
NE,2002,3.658333333333333
NE,2003,3.9166666666666665
NE,2004,3.8499999999999996
NE,2005,3.775
NE,2006,3.0416666666666665
NE,2007,2.9583333333333335
NE,2008,3.2583333333333333
NE,2009,4.633333333333334
NE,2010,4.641666666666667
NE,2011,4.366666666666666
NE,2012,3.9166666666666665
NE,2013,3.716666666666667
NE,2014,3.233333333333333
NE,2015,2.975
NE,2016,3.108333333333334
NE,2017,2.9583333333333335
NE,2018,2.908333333333333
NE,2019,3.1166666666666667
NE,2020,4.266666666666667
NE,2021,2.6
NE,2022,2.15
NE,2023,2.308333333333333
NV,1995,5.566666666666666
NV,1996,5.083333333333333
NV,1997,4.433333333333334
NV,1998,4.166666666666667
NV,1999,4.05
NV,2000,4.141666666666667
NV,2001,5.108333333333333
NV,2002,5.625
NV,2003,5.2
NV,2004,4.45
NV,2005,4.208333333333333
NV,2006,4.166666666666667
NV,2007,4.766666666666667
NV,2008,6.8999999999999995
NV,2009,11.075000000000001
NV,2010,13.25
NV,2011,12.983333333333334
NV,2012,11.533333333333333
NV,2013,9.966666666666667
NV,2014,8.200000000000001
NV,2015,6.866666666666667
NV,2016,5.833333333333333
NV,2017,5.008333333333334
NV,2018,4.408333333333333
NV,2019,4.108333333333333
NV,2020,13.674999999999999
NV,2021,6.825
NV,2022,5.2
NV,2023,5.141666666666667
NH,1995,3.8166666666666664
NH,1996,3.7416666666666667
NH,1997,3.358333333333333
NH,1998,2.8333333333333335
NH,1999,2.725
NH,2000,2.6666666666666665
NH,2001,3.408333333333333
NH,2002,4.466666666666666
NH,2003,4.433333333333334
NH,2004,3.8249999999999997
NH,2005,3.6333333333333333
NH,2006,3.516666666666667
NH,2007,3.533333333333333
NH,2008,3.766666666666666
NH,2009,6.05
NH,2010,6.058333333333334
NH,2011,5.491666666666667
NH,2012,5.4750000000000005
NH,2013,5.25
NH,2014,4.316666666666666
NH,2015,3.391666666666667
NH,2016,2.891666666666666
